,Img1 (X),Img1 (Y),Img2 (X),Img2 (Y),deltaX,deltaY
0,989.0,354.0,984.0,372.0,5.0,-18.0
1,293.0,296.0,286.80002,316.80002,6.19998,-20.80002
2,294.0,254.0,292.0,273.0,2.0,-19.0
3,544.0,353.0,539.0,372.0,5.0,-19.0
4,925.0,247.0,920.0,265.0,5.0,-18.0
5,507.0,130.0,502.0,149.0,5.0,-19.0
6,982.0,354.0,977.0,372.0,5.0,-18.0
7,379.0,587.0,927.0,259.0,-548.0,328.0
8,459.0,121.0,454.0,140.0,5.0,-19.0
9,377.0,575.0,372.0,594.0,5.0,-19.0
10,546.0,350.0,541.0,369.0,5.0,-19.0
11,935.0,244.0,928.80005,261.60001,6.19995,-17.60001
12,925.0,244.0,920.0,262.0,5.0,-18.0
13,922.0,248.0,916.80005,265.20001,5.19995,-17.20001
14,519.0,349.0,513.0,367.0,6.0,-18.0
15,919.0,250.0,914.0,268.0,5.0,-18.0
16,297.0,272.0,292.0,292.0,5.0,-20.0
17,927.0,250.0,921.60004,267.60001,5.39996,-17.60001
18,955.0,379.0,949.0,397.0,6.0,-18.0
19,502.0,128.0,505.22864,139.74409,-3.22864,-11.74409
20,931.0,234.0,925.0,252.0,6.0,-18.0
21,922.0,243.0,917.0,261.0,5.0,-18.0
22,934.80005,235.20001,930.00006,253.20001,4.79999,-18.0
23,975.60004,381.60001,970.80005,400.80002,4.79999,-19.20001
24,919.20001,241.20001,914.40002,259.20001,4.79999,-18.0
25,928.80005,241.20001,924.00006,258.0,4.79999,-16.79999
26,500.40002,127.2,977.76001,368.64001,-477.35999,-241.44001
27,933.60004,243.60001,928.80005,261.60001,4.79999,-18.0
28,921.60004,247.20001,916.80005,265.20001,4.79999,-18.0
29,927.60004,249.60001,923.0,269.0,4.60004,-19.39999
30,982.80005,349.20001,978.00006,367.20001,4.79999,-18.0
31,518.40002,346.80002,513.60004,366.0,4.79998,-19.19998
32,986.40002,344.40002,981.60004,364.80002,4.79998,-20.4
33,460.80002,126.00001,456.00003,145.20001,4.79999,-19.2
34,288.0,264.0,283.20001,284.40002,4.79999,-20.40002
35,374.40002,589.20001,370.80002,607.20001,3.6,-18.0
36,368.40002,588.0,362.88,606.24005,5.52002,-18.24005
37,465.60001,110.4,459.60001,129.60001,6.0,-19.20001
