,Img1 (X),Img1 (Y),Img2 (X),Img2 (Y),deltaX,deltaY
0,3.68812,7.70418,3.68755,7.7009,0.00057,0.00328
1,8.97052,7.66265,9.03024,7.77303,-0.05972,-0.11038
2,15.08094,7.33999,15.10012,7.36967,-0.01918,-0.02968
3,58.89683,498.25711,54.56359,518.22485,4.33324,-19.96774
4,184.99849,51.48829,179.4007,70.50565,5.59779,-19.01736
5,226.65062,305.75815,222.68697,322.9006,3.96365,-17.14245
6,230.41708,459.65668,225.8235,478.97623,4.59358,-19.31955
7,236.43999,509.23633,231.98698,527.75958,4.45301,-18.52325
8,240.43571,485.81107,235.9781,504.88708,4.45761,-19.07601
9,241.94333,440.88342,237.39174,459.85565,4.55159,-18.97223
10,241.94685,500.017,237.21568,518.76996,4.73117,-18.75296
11,242.82028,514.71063,238.25616,533.59906,4.56412,-18.88843
12,245.08899,445.63235,240.04659,464.6243,5.0424,-18.99195
13,246.26697,462.09747,241.60909,480.58786,4.65788,-18.49039
14,250.58839,420.4668,244.6599,439.31088,5.92849,-18.84408
15,251.05847,450.28845,246.39952,469.05093,4.65895,-18.76248
16,253.47018,510.06137,249.1463,529.38995,4.32388,-19.32858
17,253.7253,178.68481,248.34927,197.68205,5.37603,-18.99724
18,257.25424,520.0484,253.38184,538.62146,3.8724,-18.57306
19,262.73108,393.90375,257.67508,413.34033,5.056,-19.43658
20,264.29852,123.65951,258.72458,142.31618,5.57394,-18.65667
21,265.08215,201.61433,259.83017,220.37721,5.25198,-18.76288
22,269.59109,393.01205,265.96872,412.08575,3.62237,-19.0737
23,269.62961,148.25493,264.59827,166.48317,5.03134,-18.22824
24,275.34222,193.92482,270.67505,212.79199,4.66717,-18.86717
25,275.4209,138.1933,270.46011,156.90846,4.96079,-18.71516
26,275.51007,381.4386,269.44055,399.68195,6.06952,-18.24335
27,275.98898,200.76015,270.57269,219.6438,5.41629,-18.88365
28,277.58356,335.41168,272.69366,355.55005,4.8899,-20.13837
29,278.02063,178.35631,272.63757,197.26118,5.38306,-18.90487
30,279.67902,128.31694,274.99945,147.99693,4.67957,-19.67999
31,280.6218,163.32668,275.27191,182.06622,5.34989,-18.73954
32,281.36276,491.65909,276.62808,510.15689,4.73468,-18.4978
33,282.30814,112.10152,277.22098,131.04388,5.08716,-18.94236
34,283.10852,233.65016,278.05225,252.6795,5.05627,-19.02934
35,283.16562,187.53548,278.42783,205.94305,4.73779,-18.40757
36,283.6243,155.38216,278.02628,173.77434,5.59802,-18.39218
37,287.0603,198.03406,282.17462,216.87624,4.88568,-18.84218
38,289.08331,222.28709,284.31686,240.7103,4.76645,-18.42321
39,289.21332,206.72075,284.30692,225.76378,4.9064,-19.04303
40,289.56592,228.07727,284.41733,248.51909,5.14859,-20.44182
41,290.31024,194.27466,285.18066,213.14668,5.12958,-18.87202
42,290.38077,181.35635,284.97455,200.05037,5.40622,-18.69402
43,292.17487,139.71594,286.85031,157.92104,5.32456,-18.2051
44,292.17487,139.71594,286.85031,157.92104,5.32456,-18.2051
45,292.50171,487.06793,287.60135,506.02197,4.90036,-18.95404
46,293.5976,190.93683,288.7825,209.8084,4.8151,-18.87157
47,294.74399,228.69455,289.61624,247.42068,5.12775,-18.72613
48,296.64908,131.03149,291.5787,149.68767,5.07038,-18.65618
49,297.62607,481.73441,293.17938,503.20544,4.44669,-21.47103
50,297.80502,209.84286,292.70801,228.86092,5.09701,-19.01806
51,301.33322,206.77191,296.04382,225.81042,5.2894,-19.03851
52,302.3735,241.54471,297.19397,260.31689,5.17953,-18.77218
