,Img1 (X),Img1 (Y),Img2 (X),Img2 (Y),deltaX,deltaY
0,274.76562,250.94505,269.71381,271.24823,5.05181,-20.30318
1,280.4129,246.28925,274.85242,265.86298,5.56048,-19.57373
2,280.4129,246.28925,274.85242,265.86298,5.56048,-19.57373
3,285.52512,286.31631,681.73376,108.53632,-396.20864,177.77999
4,288.24881,261.83804,283.41528,281.60443,4.83353,-19.76639
5,309.02606,162.19872,303.88361,180.97765,5.14245,-18.77893
6,309.02606,162.19872,303.88361,180.97765,5.14245,-18.77893
7,310.66599,153.85533,312.64099,180.823,-1.975,-26.96767
8,313.72745,150.06305,308.81366,169.90533,4.91379,-19.84228
9,313.72745,150.06305,308.81366,169.90533,4.91379,-19.84228
10,317.93509,162.04926,312.64099,180.823,5.2941,-18.77374
11,317.93509,162.04926,312.64099,180.823,5.2941,-18.77374
12,319.41537,147.40109,314.34369,166.08034,5.07168,-18.67925
13,319.50018,153.79813,314.28381,172.56837,5.21637,-18.77024
14,362.51459,575.08746,357.86273,593.69348,4.65186,-18.60602
15,362.51459,575.08746,357.86273,593.69348,4.65186,-18.60602
16,373.67239,568.48712,369.07968,587.11688,4.59271,-18.62976
17,447.42935,119.92969,442.61151,139.0045,4.81784,-19.07481
18,459.69922,108.87684,454.58261,127.82324,5.11661,-18.9464
19,501.79327,110.38938,496.57053,130.48241,5.22274,-20.09303
20,501.79327,110.38938,496.57053,130.48241,5.22274,-20.09303
21,509.00888,338.31659,503.88861,357.21286,5.12027,-18.89627
22,540.68286,371.51117,535.71448,390.90738,4.96838,-19.39621
23,597.44562,108.14879,681.73376,108.53632,-84.28814,-0.38753
24,686.59894,88.16226,681.73376,108.53632,4.86518,-20.37406
25,741.90356,17.459,737.04144,35.81076,4.86212,-18.35176
26,913.22522,227.53714,908.36823,245.64969,4.85699,-18.11255
27,913.22522,227.53714,908.36823,245.64969,4.85699,-18.11255
28,913.22522,227.53714,908.36823,245.64969,4.85699,-18.11255
29,913.74036,235.34105,908.86102,253.39966,4.87934,-18.05861
30,913.74036,235.34105,908.86102,253.39966,4.87934,-18.05861
31,920.74615,229.74017,915.90143,247.74988,4.84472,-18.00971
32,920.74615,229.74017,915.90143,247.74988,4.84472,-18.00971
33,920.85486,243.12929,915.98907,261.323,4.86579,-18.19371
34,921.25684,237.53285,916.45245,255.57263,4.80439,-18.03978
35,921.25684,237.53285,916.45245,255.57263,4.80439,-18.03978
36,927.44958,237.76962,922.51825,255.94995,4.93133,-18.18033
37,927.89874,237.83437,922.97864,256.08969,4.9201,-18.25532
38,965.8371,372.66119,960.69293,391.68231,5.14417,-19.02112
39,965.8371,372.66119,960.69293,391.68231,5.14417,-19.02112
40,976.21228,340.77979,971.25549,358.57529,4.95679,-17.7955
41,976.21228,340.77979,971.25549,358.57529,4.95679,-17.7955
42,1004.33325,546.51239,998.93872,564.005,5.39453,-17.49261
43,1011.18073,540.63135,1005.97968,557.93396,5.20105,-17.30261
