,Filtro(X),Filtro(Y)
0,0.00057,0.00328
1,-0.05972,-0.11038
2,-0.01918,-0.02968
3,4.33324,-19.96774
4,5.59779,-19.01736
5,3.96365,-17.14245
6,4.59358,-19.31955
7,4.45301,-18.52325
8,4.45761,-19.07601
9,4.55159,-18.97223
10,4.73117,-18.75296
11,4.56412,-18.88843
12,5.0424,-18.99195
13,4.65788,-18.49039
14,5.92849,-18.84408
15,4.65895,-18.76248
16,4.32388,-19.32858
17,5.37603,-18.99724
18,3.8724,-18.57306
19,5.056,-19.43658
20,5.57394,-18.65667
21,5.25198,-18.76288
22,3.62237,-19.0737
23,5.03134,-18.22824
24,4.66717,-18.86717
25,4.96079,-18.71516
26,6.06952,-18.24335
27,5.41629,-18.88365
28,4.8899,-20.13837
29,5.38306,-18.90487
30,4.67957,-19.67999
31,5.34989,-18.73954
32,4.73468,-18.4978
33,5.08716,-18.94236
34,5.05627,-19.02934
35,4.73779,-18.40757
36,5.59802,-18.39218
37,4.88568,-18.84218
38,4.76645,-18.42321
39,4.9064,-19.04303
40,5.14859,-20.44182
41,5.12958,-18.87202
42,5.40622,-18.69402
43,5.32456,-18.2051
44,5.32456,-18.2051
45,4.90036,-18.95404
46,4.8151,-18.87157
47,5.12775,-18.72613
48,5.07038,-18.65618
49,4.44669,-21.47103
50,5.09701,-19.01806
51,5.2894,-19.03851
52,5.17953,-18.77218
53,3.7656,-18.80698
54,5.3637,-18.64317
55,5.91034,-19.12762
56,4.13092,-18.52511
57,4.13092,-18.52511
58,5.25085,-18.48264
59,5.25842,-18.45366
60,5.25842,-18.45366
61,5.33811,-18.29901
62,5.31027,-18.62405
63,5.05777,-18.56583
64,5.05777,-18.56583
65,5.11667,-18.73861
66,5.2911,-19.66681
67,5.42877,-18.94185
68,5.96567,-18.71477
69,4.43906,-19.95723
70,4.98043,-18.46067
71,4.13202,-18.39147
72,5.06015,-19.0944
73,6.03555,-21.62144
74,5.55692,-20.54938
75,5.01911,-19.24395
76,4.94763,-19.26363
77,5.93317,-18.85294
78,5.07769,-18.81443
79,4.8154,-19.06784
80,4.99558,-19.68472
81,5.13012,-19.28025
82,5.41168,-19.73425
83,4.55752,-18.64099
84,4.84292,-18.25223
85,5.3512,-19.39882
86,5.09305,-20.04797
87,5.06458,-18.70474
88,5.57107,-20.45894
89,5.21585,-20.06858
90,4.70014,-19.05572
91,4.64332,-18.55529
92,5.05359,-19.10748
93,4.86572,-19.5489
94,2.43433,-18.63159
95,4.8584,-19.71887
96,4.95264,-19.26248
97,5.55372,-20.36231
98,4.72791,-18.76074
99,4.672,-18.49916
100,5.18231,-18.63278
101,5.18231,-18.63278
102,4.90808,-17.93305
103,4.53381,-18.53548
104,3.85608,-18.41422
105,4.72925,-17.44924
106,4.31335,-18.39767
107,4.96582,-18.27743
108,4.23474,-17.8442
109,4.68866,-18.19745
110,5.13116,-19.76367
111,4.8208,-19.82766
112,5.12573,-19.45508
113,5.52332,-19.57513
114,5.06873,-19.41199
115,5.25879,-19.47357
116,5.25879,-19.47357
117,5.35346,-19.88067
118,4.93518,-18.96954
119,3.47607,-18.92944
120,4.8202,-17.99415
121,5.35199,-17.44373
122,5.36127,-18.41229
123,4.34528,-18.32199
124,5.52117,-19.07263
125,5.5329,-19.12595
126,5.08966,-18.66181
127,5.14539,-18.28592
128,5.10407,-19.0163
129,4.95599,-17.79217
130,4.95599,-17.79217
131,4.11694,-16.80738
132,5.54431,-17.65851
133,4.97138,-17.08844
134,5.03533,-17.60059
