,Img1 (X),Img1 (Y),Img2 (X),Img2 (Y),deltaX,deltaY
0,383.70627,578.13556,918.00934,254.95395,-534.30307,323.18161
1,295.14017,296.04044,289.8848,317.05945,5.25537,-21.01901
2,985.93109,350.52121,980.96844,368.31985,4.96265,-17.79864
3,469.53989,118.16454,464.57333,137.10408,4.96656,-18.93954
4,377.53226,581.65692,373.22229,600.33087,4.30997,-18.67395
5,326.02545,155.79411,321.76523,173.41476,4.26022,-17.62065
6,451.88226,120.60893,446.48138,139.69897,5.40088,-19.09004
7,471.17148,105.7253,466.58246,124.99953,4.58902,-19.27423
8,871.61115,399.23099,866.48157,419.4296,5.12958,-20.19861
9,473.67416,559.93317,469.00424,578.34363,4.66992,-18.41046
10,736.94885,57.14057,732.92023,75.64389,4.02862,-18.50332
11,279.77118,163.90434,274.45505,182.60472,5.31613,-18.70038
12,246.23909,462.4483,241.49948,480.87103,4.73961,-18.42273
13,328.74582,97.49436,323.59796,115.95796,5.14786,-18.4636
14,998.06659,554.3728,992.65344,571.95264,5.41315,-17.57984
15,494.06848,397.87091,488.95862,416.96484,5.10986,-19.09393
16,884.98523,429.13635,879.98877,448.03448,4.99646,-18.89813
17,301.44031,206.76472,296.05847,225.79021,5.38184,-19.02549
18,744.7569,55.40958,739.77087,73.73869,4.98603,-18.32911
19,974.51483,285.18011,969.53564,303.12,4.97919,-17.93989
20,913.47046,445.37451,908.47931,464.45236,4.99115,-19.07785
21,240.44119,485.80942,235.93539,504.60364,4.5058,-18.79422
22,716.34552,379.85629,711.78821,398.86179,4.55731,-19.0055
23,241.7849,440.46643,237.18381,459.44189,4.60109,-18.97546
24,1003.95984,352.32794,998.85333,370.08658,5.10651,-17.75864
25,278.80627,206.73502,273.58261,225.41655,5.22366,-18.68153
26,962.13641,392.04709,956.86176,410.63916,5.27465,-18.59207
27,280.63931,471.80151,275.42233,490.48398,5.21698,-18.68247
28,276.8519,201.34085,271.6871,220.21773,5.1648,-18.87688
29,534.74847,328.26782,530.31818,345.81085,4.43029,-17.54303
30,697.1734,359.05176,691.68488,377.69385,5.48852,-18.64209
31,269.57141,148.16797,264.68503,166.31839,4.88638,-18.15042
32,303.22116,114.75848,297.66684,133.4072,5.55432,-18.64872
33,264.54889,200.84102,259.37485,219.7979,5.17404,-18.95688
34,635.5473,350.57843,631.43134,369.7749,4.11596,-19.19647
35,290.75711,230.87067,285.8465,250.50122,4.91061,-19.63055
36,955.04956,349.39859,949.59003,367.26019,5.45953,-17.8616
37,256.92429,380.40686,252.17645,400.93622,4.74784,-20.52936
38,270.96625,389.50708,267.61646,408.41238,3.34979,-18.9053
39,243.74588,413.56436,239.49084,432.52502,4.25504,-18.96066
40,482.67529,105.87563,477.31015,125.81505,5.36514,-19.93942
41,282.49878,233.61475,277.66367,252.55798,4.83511,-18.94323
42,671.6286,388.31143,667.19592,408.20743,4.43268,-19.896
43,539.29547,299.19388,534.745,317.02356,4.55047,-17.82968
44,633.73682,375.04288,629.48547,394.42822,4.25135,-19.38534
45,283.63745,170.3624,278.68665,189.1734,4.9508,-18.811
46,240.22548,514.94318,235.99368,534.58044,4.2318,-19.63726
47,257.2229,520.54199,253.14722,539.02832,4.07568,-18.48633
48,364.17004,102.86359,358.94214,122.54607,5.2279,-19.68248
49,466.12115,402.39944,461.08856,421.25845,5.03259,-18.85901
