,Img1 (X),Img1 (Y),Img2 (X),Img2 (Y),deltaX,deltaY
0,923.37085,245.61668,918.3761,263.83771,4.99475,-18.22103
1,519.02063,348.3024,513.90179,367.22739,5.11884,-18.92499
2,986.22174,350.75687,981.26575,368.54904,4.95599,-17.79217
3,923.04388,237.36472,918.22375,255.35886,4.82013,-17.99414
4,934.77551,235.03865,930.9361,253.97722,3.83941,-18.93857
5,58.89682,498.25711,54.56359,518.22485,4.33323,-19.96774
6,381.08951,586.17181,370.27393,595.82648,10.81558,-9.65467
7,381.08951,586.17181,376.6055,605.01898,4.48401,-18.84717
8,645.46185,73.6406,639.73907,91.71232,5.72278,-18.07172
9,645.46185,73.6406,639.73907,91.71232,5.72278,-18.07172
10,1016.58777,568.56616,1011.2655,586.05298,5.32227,-17.48682
11,372.35245,585.25061,367.48895,604.05109,4.8635,-18.80048
12,284.6062,261.05945,279.21924,281.8605,5.38696,-20.80105
13,383.93787,578.35437,918.22375,255.35886,-534.28588,322.99551
14,383.93787,578.35437,367.48895,604.05109,16.44892,-25.69672
15,975.83832,382.67365,970.73425,401.68991,5.10407,-19.01626
16,544.70111,352.43143,539.97162,371.12854,4.72949,-18.69711
17,974.04529,654.21777,969.23474,654.8938,4.81055,-0.67603
18,859.67627,384.06134,854.38348,402.82449,5.29279,-18.76315
19,547.96631,376.08197,279.21924,281.8605,268.74707,94.22147
20,751.90503,27.43734,367.48895,604.05109,384.41608,-576.61375
21,325.6268,161.1259,321.49561,179.65121,4.13119,-18.52531
22,325.6268,161.1259,321.49561,179.65121,4.13119,-18.52531
23,325.6268,161.1259,321.49561,179.65121,4.13119,-18.52531
24,325.6268,161.1259,321.49561,179.65121,4.13119,-18.52531
25,442.87595,119.79011,437.85684,139.03407,5.01911,-19.24396
26,280.6218,163.32668,275.27191,182.06622,5.34989,-18.73954
27,550.6922,381.51642,367.48895,604.05109,183.20325,-222.53467
28,457.48849,129.95409,452.67313,149.02193,4.81536,-19.06784
29,462.1546,117.92097,457.02448,137.20122,5.13012,-19.28025
30,511.81308,120.37447,506.5972,140.44305,5.21588,-20.06858
31,696.49622,98.04599,691.36249,118.31149,5.13373,-20.2655
32,504.8587,129.95148,498.45444,149.12474,6.40426,-19.17326
33,491.75784,127.51374,486.82111,146.50365,4.93673,-18.98991
34,737.63397,56.72504,733.10004,75.2605,4.53393,-18.53546
35,986.22174,350.75687,981.26575,368.54904,4.95599,-17.79217
36,298.2496,271.82797,293.38348,291.63751,4.86612,-19.80954
37,299.38632,261.06271,294.72879,280.94427,4.65753,-19.88156
38,779.35822,66.8685,774.80823,85.04948,4.54999,-18.18098
39,184.99849,51.48829,179.4007,70.50565,5.59779,-19.01736
