,Filtro(X),Filtro(Y)
0,5.25537,-21.01901
1,4.96265,-17.79864
2,4.96656,-18.93954
3,4.30997,-18.67395
4,4.26022,-17.62065
5,5.40088,-19.09004
6,4.58902,-19.27423
7,5.12958,-20.19861
8,4.66992,-18.41046
9,4.02862,-18.50332
10,5.31613,-18.70038
11,4.73961,-18.42273
12,5.14786,-18.4636
13,5.41315,-17.57984
14,5.10986,-19.09393
15,4.99646,-18.89813
16,5.38184,-19.02549
17,4.98603,-18.32911
18,4.97919,-17.93989
19,4.99115,-19.07785
20,4.5058,-18.79422
21,4.55731,-19.0055
22,4.60109,-18.97546
23,5.10651,-17.75864
24,5.22366,-18.68153
25,5.27465,-18.59207
26,5.21698,-18.68247
27,5.1648,-18.87688
28,4.43029,-17.54303
29,5.48852,-18.64209
30,4.88638,-18.15042
31,5.55432,-18.64872
32,5.17404,-18.95688
33,4.11596,-19.19647
34,4.91061,-19.63055
35,5.45953,-17.8616
36,4.74784,-20.52936
37,3.34979,-18.9053
38,4.25504,-18.96066
39,5.36514,-19.93942
40,4.83511,-18.94323
41,4.43268,-19.896
42,4.55047,-17.82968
43,4.25135,-19.38534
44,4.9508,-18.811
45,4.2318,-19.63726
46,4.07568,-18.48633
47,5.2279,-19.68248
48,5.03259,-18.85901
